# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.652492628992e-10       7.656387260316e-15       2.360645027252e-13       0.000000000000e+00       8.505796675722e-11       8.857851756490e-12      -7.425540406830e-15 
   41       1.677413094843e-10       8.317483976014e-15       2.266206445107e-13       0.000000000000e+00       8.085376333699e-11       8.446028800163e-12      -6.842170339068e-15 
   42       1.702519527225e-10       9.014031305567e-15       2.157843573213e-13       0.000000000000e+00       7.692948242651e-11       8.062488305698e-12      -6.508486283993e-15 
   43       1.727708391879e-10       9.746486148693e-15       2.036353471030e-13       0.000000000000e+00       7.324279329484e-11       7.704736312349e-12      -6.535449902156e-15 
   44       1.753027258746e-10       1.051550704870e-14       1.901277417157e-13       0.000000000000e+00       6.978802616683e-11       7.371948554555e-12      -6.873929004253e-15 
   45       1.778553877240e-10       1.132179643699e-14       1.751726163812e-13       0.000000000000e+00       6.656166460060e-11       7.062824135490e-12      -7.412679764584e-15 
   46       1.804348723589e-10       1.216604017265e-14       1.586689992009e-13       0.000000000000e+00       6.354861168916e-11       6.774703045300e-12      -8.014829749474e-15 
   47       1.830452928002e-10       1.304890717619e-14       1.405030555392e-13       0.000000000000e+00       6.072128715312e-11       6.503464289292e-12      -8.516376154953e-15 
   48       1.856888101828e-10       1.397096094763e-14       1.205706816635e-13       0.000000000000e+00       5.804811873384e-11       6.244715791734e-12      -8.771016374104e-15 
   49       1.883660598062e-10       1.493236548148e-14       9.885471998077e-14       0.000000000000e+00       5.552395362044e-11       5.997998442748e-12      -8.803087333715e-15 
   50       1.910754890452e-10       1.593309582351e-14       7.536810851029e-14       0.000000000000e+00       5.314666833573e-11       5.763592093552e-12      -8.695157687655e-15 
   51       1.938129851088e-10       1.697301420605e-14       5.013274141404e-14       0.000000000000e+00       5.090810972310e-11       5.541292168581e-12      -8.546300451986e-15 
   52       1.965716774499e-10       1.805186518608e-14       2.317984773017e-14       0.000000000000e+00       4.879367134034e-11       5.330373700598e-12      -8.472955137001e-15 
   53       1.993446082811e-10       1.916939447807e-14      -5.463469286495e-15       0.000000000000e+00       4.678688041286e-11       5.129903665353e-12      -8.579084786725e-15 
   54       2.021340051432e-10       2.032575251841e-14      -3.581954953935e-14       0.000000000000e+00       4.488551852736e-11       4.939855062392e-12      -8.855653371435e-15 
   55       2.049440483404e-10       2.152118620094e-14      -6.792585167636e-14       0.000000000000e+00       4.308890797436e-11       4.760216630503e-12      -9.256802297630e-15 
   56       2.077781359489e-10       2.275592458255e-14      -1.018223307011e-13       0.000000000000e+00       4.139305532011e-11       4.590648743598e-12      -9.727877213143e-15 
   57       2.106388064826e-10       2.403017920762e-14      -1.375516395076e-13       0.000000000000e+00       3.979043788678e-11       4.430462049576e-12      -1.020500271392e-14 
   58       2.135276615592e-10       2.534414443232e-14      -1.751593304148e-13       0.000000000000e+00       3.826979023262e-11       4.278596109185e-12      -1.061465705079e-14 
   59       2.164456792624e-10       2.669787960725e-14      -2.146811233749e-13       0.000000000000e+00       3.681920508370e-11       4.133906671009e-12      -1.089121526626e-14 
   60       2.193944148461e-10       2.809092293792e-14      -2.561008001842e-13       0.000000000000e+00       3.543676200298e-11       3.996153916621e-12      -1.103530198590e-14 
   61       2.223749426881e-10       2.952258836510e-14      -2.993828708603e-13       0.000000000000e+00       3.412199403537e-11       3.865206370477e-12      -1.106826232029e-14 
   62       2.253874273298e-10       3.099207221675e-14      -3.444844151716e-13       0.000000000000e+00       3.287269118156e-11       3.740741766269e-12      -1.101556498479e-14 
   63       2.284310593861e-10       3.249844952762e-14      -3.913548457535e-13       0.000000000000e+00       3.168479923249e-11       3.622236148025e-12      -1.090698610566e-14 
   64       2.315039914556e-10       3.404067035881e-14      -4.399356712260e-13       0.000000000000e+00       3.055231860378e-11       3.508952971224e-12      -1.077679302614e-14 
   65       2.346042535988e-10       3.561767434077e-14      -4.901730672991e-13       0.000000000000e+00       2.946895976809e-11       3.400145523265e-12      -1.065619906698e-14 
   66       2.377328690798e-10       3.722877076438e-14      -5.420592165929e-13       0.000000000000e+00       2.843374427634e-11       3.295738492082e-12      -1.054845766139e-14 
   67       2.408912858675e-10       3.887333264533e-14      -5.955993262945e-13       0.000000000000e+00       2.744641259800e-11       3.195771685689e-12      -1.044880657425e-14 
   68       2.440804192890e-10       4.055068523709e-14      -6.507997118216e-13       0.000000000000e+00       2.650572113496e-11       3.100194609883e-12      -1.035169973304e-14 
   69       2.473006153392e-10       4.226010565745e-14      -7.076679182048e-13       0.000000000000e+00       2.560939019151e-11       3.008861536323e-12      -1.025077483682e-14 
   70       2.505516139924e-10       4.400082251502e-14      -7.662128414705e-13       0.000000000000e+00       2.475405194451e-11       2.921526570617e-12      -1.013882096525e-14 
   71       2.538325125116e-10       4.577201553576e-14      -8.264448500224e-13       0.000000000000e+00       2.393519841339e-11       2.837838720393e-12      -1.000774618765e-14 
   72       2.571423493375e-10       4.757278040803e-14      -8.883674232729e-13       0.000000000000e+00       2.314834102983e-11       2.757436933544e-12      -9.850989938708e-15 
   73       2.604820670380e-10       4.940201633570e-14      -9.519499397156e-13       0.000000000000e+00       2.239286265087e-11       2.680267292368e-12      -9.671368209165e-15 
   74       2.638528615970e-10       5.125851612541e-14      -1.017149860562e-12       0.000000000000e+00       2.166881435581e-11       2.606318075552e-12      -9.474682714752e-15 
   75       2.672555730837e-10       5.314099790787e-14      -1.083920678625e-12       0.000000000000e+00       2.097574540686e-11       2.535522578291e-12      -9.267432584629e-15 
   76       2.706906631318e-10       5.504810397022e-14      -1.152211846030e-12       0.000000000000e+00       2.031267888123e-11       2.467756462799e-12      -9.056837786994e-15 
   77       2.741581924179e-10       5.697839958849e-14      -1.221968701930e-12       0.000000000000e+00       1.967808730334e-11       2.402835108807e-12      -8.850862554701e-15 
   78       2.776577981410e-10       5.893037186000e-14      -1.293132400214e-12       0.000000000000e+00       1.906986827699e-11       2.340510964071e-12      -8.658238810867e-15 
   79       2.811886715007e-10       6.090242853576e-14      -1.365639837222e-12       0.000000000000e+00       1.848532011750e-11       2.280470894872e-12      -8.488489594490e-15 
   80       2.847500011317e-10       6.289294934287e-14      -1.439429001217e-12       0.000000000000e+00       1.792181289531e-11       2.222413795969e-12      -8.349685144911e-15 
   81       2.883424416370e-10       6.490045278478e-14      -1.514456249733e-12       0.000000000000e+00       1.737898938477e-11       2.166304771313e-12      -8.241210835770e-15 
   82       2.919668601701e-10       6.692345631271e-14      -1.590681914802e-12       0.000000000000e+00       1.685690365104e-11       2.112160465864e-12      -8.159780160139e-15 
   83       2.956238794545e-10       6.896042621612e-14      -1.668065175377e-12       0.000000000000e+00       1.635534827556e-11       2.059971581588e-12      -8.101572241814e-15 
   84       2.993138638910e-10       7.100977742708e-14      -1.746564085445e-12       0.000000000000e+00       1.587384286612e-11       2.009701714254e-12      -8.062213273127e-15 
   85       3.030369056653e-10       7.306987332478e-14      -1.826135602141e-12       0.000000000000e+00       1.541162256710e-11       1.961286190219e-12      -8.036757952760e-15 
   86       3.067928108564e-10       7.513902553995e-14      -1.906735613870e-12       0.000000000000e+00       1.496762656956e-11       1.914630903222e-12      -8.019670923558e-15 
   87       3.105810855433e-10       7.721549375935e-14      -1.988318968412e-12       0.000000000000e+00       1.454048662142e-11       1.869611151172e-12      -8.004808210345e-15 
   88       3.144009219136e-10       7.929748553018e-14      -2.070839501047e-12       0.000000000000e+00       1.412851553762e-11       1.826070472937e-12      -7.985398657735e-15 
   89       3.182515095907e-10       8.138318109833e-14      -2.154248599549e-12       0.000000000000e+00       1.373010901832e-11       1.783859280998e-12      -7.955497094345e-15 
   90       3.221330558692e-10       8.347081281460e-14      -2.238490579936e-12       0.000000000000e+00       1.334504838571e-11       1.742960240130e-12      -7.914645529830e-15 
   91       3.260459006704e-10       8.555859788240e-14      -2.323506633748e-12       0.000000000000e+00       1.297338198595e-11       1.703380504942e-12      -7.863912350301e-15 
   92       3.299901966754e-10       8.764471460982e-14      -2.409236232704e-12       0.000000000000e+00       1.261502484913e-11       1.665113115772e-12      -7.804489120662e-15 
   93       3.339659003052e-10       8.972730258913e-14      -2.495617134890e-12       0.000000000000e+00       1.226975339139e-11       1.628136431665e-12      -7.737694070763e-15 
   94       3.379727626998e-10       9.180446287625e-14      -2.582585390960e-12       0.000000000000e+00       1.193720011689e-11       1.592413563359e-12      -7.664975581547e-15 
   95       3.420103206992e-10       9.387425817027e-14      -2.670075350330e-12       0.000000000000e+00       1.161684831990e-11       1.557891806267e-12      -7.587915671197e-15 
   96       3.460778878225e-10       9.593471299293e-14      -2.758019667372e-12       0.000000000000e+00       1.130802678677e-11       1.524502073459e-12      -7.508233481291e-15 
   97       3.501745452479e-10       9.798381386810e-14      -2.846349307615e-12       0.000000000000e+00       1.100990449804e-11       1.492158328646e-12      -7.427788762946e-15 
   98       3.542991327931e-10       1.000195095013e-13      -2.934993553934e-12       0.000000000000e+00       1.072148533042e-11       1.460757019160e-12      -7.348585362968e-15 
   99       3.584505378515e-10       1.020397575465e-13      -3.023881389065e-12       0.000000000000e+00       1.044183636509e-11       1.430201764508e-12      -7.272369462477e-15 
  100       3.626286283974e-10       1.040426720773e-13      -3.112945853171e-12       0.000000000000e+00       1.017082116294e-11       1.400482637771e-12      -7.199351825934e-15 
  101       3.668334359912e-10       1.060263974345e-13      -3.202120317866e-12       0.000000000000e+00       9.908460992629e-12       1.371607112620e-12      -7.129310203958e-15 
  102       3.710648642725e-10       1.079890642367e-13      -3.291337187557e-12       0.000000000000e+00       9.654708054979e-12       1.343575551988e-12      -7.061977026879e-15 
  103       3.753226835512e-10       1.099287901249e-13      -3.380527922322e-12       0.000000000000e+00       9.409443016638e-12       1.316380947172e-12      -6.997037978793e-15 
  104       3.796065253990e-10       1.118436805063e-13      -3.469623060785e-12       0.000000000000e+00       9.172472543693e-12       1.290008656952e-12      -6.934130571626e-15 
  105       3.839158772413e-10       1.137318292987e-13      -3.558552243001e-12       0.000000000000e+00       8.943526835296e-12       1.264436146697e-12      -6.872842719183e-15 
  106       3.882500769482e-10       1.155913196749e-13      -3.647244233330e-12       0.000000000000e+00       8.722257157294e-12       1.239632727474e-12      -6.812711311215e-15 
  107       3.926083074266e-10       1.174202248062e-13      -3.735626943314e-12       0.000000000000e+00       8.508233375856e-12       1.215559295166e-12      -6.753220787470e-15 
  108       3.969895912109e-10       1.192166086073e-13      -3.823627454560e-12       0.000000000000e+00       8.300941491094e-12       1.192168069575e-12      -6.693801711755e-15 
  109       4.013927850552e-10       1.209785264803e-13      -3.911172041615e-12       0.000000000000e+00       8.099781170695e-12       1.169402333539e-12      -6.633829345991e-15 
  110       4.058167728621e-10       1.227040743199e-13      -3.998186711105e-12       0.000000000000e+00       7.904201092724e-12       1.147209555173e-12      -6.572750652024e-15 
  111       4.102610841343e-10       1.243915410629e-13      -4.084598848470e-12       0.000000000000e+00       7.714129951749e-12       1.125583223012e-12      -6.510486829333e-15 
  112       4.147253449183e-10       1.260392771451e-13      -4.170335825774e-12       0.000000000000e+00       7.529596253113e-12       1.104525901537e-12      -6.447079864520e-15 
  113       4.192090831219e-10       1.276456491902e-13      -4.255324531910e-12       0.000000000000e+00       7.350594335302e-12       1.084036198755e-12      -6.382568546802e-15 
  114       4.237117250556e-10       1.292090412281e-13      -4.339491400562e-12       0.000000000000e+00       7.177083257951e-12       1.064108636847e-12      -6.316988304253e-15 
  115       4.282325919727e-10       1.307278559132e-13      -4.422762438149e-12       0.000000000000e+00       7.008985689872e-12       1.044733522803e-12      -6.250371040054e-15 
  116       4.327708966106e-10       1.322005157431e-13      -4.505063251785e-12       0.000000000000e+00       6.846186797061e-12       1.025896819068e-12      -6.182744968741e-15 
  117       4.373257397314e-10       1.336254642772e-13      -4.586319077222e-12       0.000000000000e+00       6.688533130722e-12       1.007580014177e-12      -6.114134452448e-15 
  118       4.418961066626e-10       1.350011673549e-13      -4.666454806810e-12       0.000000000000e+00       6.535831515276e-12       9.897599933980e-13      -6.044559837157e-15 
  119       4.464808638378e-10       1.363261143144e-13      -4.745395017448e-12       0.000000000000e+00       6.387847936384e-12       9.724089093731e-13      -5.974037288948e-15 
  120       4.510787553376e-10       1.375988192110e-13      -4.823063998532e-12       0.000000000000e+00       6.244306428960e-12       9.554940527574e-13      -5.902578630239e-15 
  121       4.556883994305e-10       1.388178220358e-13      -4.899385779911e-12       0.000000000000e+00       6.104887965188e-12       9.389777228601e-13      -5.830191176039e-15 
  122       4.603082851134e-10       1.399816899338e-13      -4.974284159839e-12       0.000000000000e+00       5.969229342540e-12       9.228170982847e-13      -5.756877570192e-15 
  123       4.649369536168e-10       1.410890660855e-13      -5.047683688058e-12       0.000000000000e+00       5.837001568487e-12       9.069742553106e-13      -5.682664343942e-15 
  124       4.695735738999e-10       1.421388201129e-13      -5.119512683390e-12       0.000000000000e+00       5.708157579654e-12       8.914478017866e-13      -5.607691655358e-15 
  125       4.742174270579e-10       1.431299173291e-13      -5.189700617108e-12       0.000000000000e+00       5.582711018000e-12       8.762446505327e-13      -5.532133598744e-15 
  126       4.788677252966e-10       1.440613742003e-13      -5.258177223950e-12       0.000000000000e+00       5.460658801594e-12       8.613701480956e-13      -5.456170467309e-15 
  127       4.835236099276e-10       1.449322599395e-13      -5.324872537591e-12       0.000000000000e+00       5.341980638092e-12       8.468280252300e-13      -5.379988815402e-15 
  128       4.881841493651e-10       1.457416980999e-13      -5.389716926109e-12       0.000000000000e+00       5.226638538222e-12       8.326203473795e-13      -5.303781520736e-15 
