# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381207226604e-10       4.167087694506e-15       3.511440525963e-13       0.000000000000e+00       8.264269206350e-09       4.556489938857e-10      -1.838615441864e-12 
    3       1.306003930591e-10       5.339181040283e-15       3.946718785711e-13       0.000000000000e+00       5.079127299069e-09       3.222291506566e-10      -1.392088287164e-12 
    4       1.235426535573e-10       4.616027415868e-15       3.690419851321e-13       0.000000000000e+00       3.517360123202e-09       2.435289105576e-10      -9.109319744207e-13 
    5       1.182671874310e-10       3.077773290043e-15       3.142537907828e-13       0.000000000000e+00       2.616911518237e-09       1.921081320879e-10      -5.058989055952e-13 
    6       1.146549121545e-10       1.720129611907e-15       2.530867771926e-13       0.000000000000e+00       2.038655316132e-09       1.561363952074e-10      -2.075313910199e-13 
    7       1.123044387448e-10       9.295282297414e-16       1.987309173242e-13       0.000000000000e+00       1.640804290568e-09       1.297552443457e-10      -1.732436639275e-14 
    8       1.109381062688e-10       6.002379322759e-16       1.569293894983e-13       0.000000000000e+00       1.353379911888e-09       1.097727777864e-10       7.963799853232e-14 
    9       1.103078891075e-10       4.820336405889e-16       1.289507408056e-13       0.000000000000e+00       1.137802207120e-09       9.428694632084e-11       1.066535601020e-13 
   10       1.101815885487e-10       4.104558606632e-16       1.134802448863e-13       0.000000000000e+00       9.712322475301e-10       8.202966922674e-11       8.953220062775e-14 
   11       1.105029611402e-10       3.442326451503e-16       1.078190789451e-13       0.000000000000e+00       8.310691928288e-10       7.285606846371e-11       5.232630775023e-14 
   12       1.111178543291e-10       2.991362892384e-16       1.089644648521e-13       0.000000000000e+00       7.262570458362e-10       6.441015628245e-11       1.258004250536e-14 
   13       1.119772550430e-10       2.862221197478e-16       1.142451521305e-13       0.000000000000e+00       6.401984977421e-10       5.755204990133e-11      -1.773512865190e-14 
   14       1.130349059763e-10       2.975788770251e-16       1.215967565939e-13       0.000000000000e+00       5.685877097354e-10       5.158620326309e-11      -3.435220128793e-14 
   15       1.142763585398e-10       3.214897428508e-16       1.297580003854e-13       0.000000000000e+00       5.083058238646e-10       4.656525238683e-11      -3.744808527004e-14 
   16       1.156257204996e-10       3.553606152422e-16       1.381088215663e-13       0.000000000000e+00       4.570455178628e-10       4.223723089544e-11      -3.091711830383e-14 
   17       1.171116685690e-10       4.046031288815e-16       1.464177925959e-13       0.000000000000e+00       4.130668447681e-10       3.845948659581e-11      -1.992598343601e-14 
   18       1.186707505074e-10       4.746467325421e-16       1.548847368545e-13       0.000000000000e+00       3.748954808318e-10       3.516714374754e-11      -9.387247729192e-15 
   19       1.203146609028e-10       5.659390269341e-16       1.637418051157e-13       0.000000000000e+00       3.419152704446e-10       3.231204703470e-11      -1.951907692561e-15 
   20       1.220368612050e-10       6.765981937748e-16       1.731689839026e-13       0.000000000000e+00       3.128683151748e-10       2.977682731306e-11       6.167266423865e-16 
   21       1.238379235141e-10       8.057937475082e-16       1.831383776345e-13       0.000000000000e+00       2.872975230175e-10       2.751500392398e-11      -1.114907734726e-15 
   22       1.256907332247e-10       9.527773549682e-16       1.934663660728e-13       0.000000000000e+00       2.645871928622e-10       2.547031986624e-11      -5.376220691604e-15 
   23       1.276021766232e-10       1.117882723287e-15       2.037777762505e-13       0.000000000000e+00       2.444331918419e-10       2.363574311090e-11      -1.039534306346e-14 
   24       1.295674476258e-10       1.301615656160e-15       2.136000381513e-13       0.000000000000e+00       2.263752191345e-10       2.199619911869e-11      -1.428821407620e-14 
   25       1.315810375733e-10       1.504178823799e-15       2.226677334998e-13       0.000000000000e+00       2.101682316228e-10       2.052871266658e-11      -1.623734785537e-14 
   26       1.336246216252e-10       1.725822930939e-15       2.307903093652e-13       0.000000000000e+00       1.954949694176e-10       1.919503800098e-11      -1.591607142424e-14 
   27       1.357077708119e-10       1.968090855648e-15       2.379068540264e-13       0.000000000000e+00       1.822792852971e-10       1.798582851576e-11      -1.384427175463e-14 
   28       1.378333896609e-10       2.233144408632e-15       2.440170247160e-13       0.000000000000e+00       1.703609432283e-10       1.688612260201e-11      -1.103880003924e-14 
